ter_id,ter_name,ter_tms_id,ter_country,ter_code,ter_type,ter_mid_status_support,ter_im4,ter_im7,ter_pie,ter_mrn,ter_nt1,ter_ex,ter_co,ter_eu,ter_rt1,ter_rt2,ter_tt1,ter_tt2
21,Kloosterboer Vlissingen,1,NL,4455TE010,1,true,true,true,true,true,false,true,true,true,true,true,true,true
22,Matrans Rotterdam Terminal,1,NL,3195KN015,1,true,true,true,true,true,false,true,true,true,true,true,true,true
23,RCT,1,NL,3199LB017,1,false,true,false,false,true,true,false,false,false,false,false,false,false
24,Rotterdam Shortsea Terminals,1,NL,3089KM035,1,true,true,true,true,true,false,true,true,true,true,true,true,true
25,Rotterdam World Gateway (RWG),1,NL,3199KD050,1,false,true,true,true,true,false,true,true,true,true,true,true,true
26,TMA Amsterdam,1,NL,1047HM100,1,true,true,true,true,true,true,true,true,true,true,true,true,true
27,Verbrugge Vlissingen,1,NL,4389PC012,1,true,true,false,false,true,false,false,false,false,false,false,false,false
28,Zoomweg Zeeland Coldstore,1,NL,4416PK004,1,true,true,true,true,false,false,true,true,true,true,true,true,true
29,C.RO Ports Rotterdam,1,NL,3197KG070,2,true,true,true,true,true,true,true,true,true,true,true,true,true
30,C.RO Ports Vlissingen,1,NL,4389PA497,2,true,true,true,true,true,true,true,true,true,true,true,true,true
31,P&O North Sea Ferries Terminal,1,NL,3198LG002,2,true,true,true,true,true,true,true,true,true,true,true,true,true
32,DFDS Seaways Rotterdam B.V.,1,NL,3134KL020,2,true,true,true,true,true,false,true,true,true,true,true,true,true
33,KVSA (DFDS) IJmuiden,1,NL,1975AG033,2,true,true,true,true,true,false,true,true,true,true,true,true,true
34,Stena Line Hoek van Holland,1,NL,3151XN013,2,true,true,true,true,true,false,true,true,true,true,true,true,true
35,Stena Line Rotterdam,1,NL,3198LC091,2,true,true,true,true,true,false,true,true,true,true,true,true,true
110,Hutchison Ports ECT Euromax,1,NL,3199LZ951,1,false,true,true,true,true,true,false,true,true,true,true,true,true
111,Rhenus Maasvlakte,1,NL,3199KA199,1,false,false,false,false,true,true,true,true,true,true,true,true,true
112,Rhenus Waalhaven,1,NL,3087BB021,1,false,false,false,false,true,true,true,true,true,true,true,true,true
113,ICO Bastenaken Terminal - IM,5,BE,BEZEE0750200505,0,false,false,false,false,false,false,false,false,false,false,false,false,false
114,ICO Hanze Terminal - IM,5,BE,BEZEE0750200521,0,false,false,false,false,false,false,false,false,false,false,false,false,false
115,ICO Noordelijk Insteek Terminal - IM,5,BE,BEZEE0750200405,0,false,false,false,false,false,false,false,false,false,false,false,false,false
116,ICO Vrasene Terminal (K1241) - IM,5,BE,BEANR0900501241,0,false,false,false,false,false,false,false,false,false,false,false,false,false
117,Antwerp Euroterminal (AET K1333) - IM,5,BE,BEANR0900601333,0,false,false,false,false,false,false,false,false,false,false,false,false,false
118,Wallenius Wilhelmsen Logistics - IM,5,BE,BEZEE0750200530,0,false,false,false,false,false,false,false,false,false,false,false,false,false
119,C.RO Canadakaai,5,BE,BEZEE0750200529,0,false,false,false,false,false,false,false,false,false,false,false,false,false
120,C.RO Zweedse kaai,5,BE,BEZEE0750300702,0,false,false,false,false,false,false,false,false,false,false,false,false,false
121,C.RO Brittanniadok,5,BE,BEZEE0750300612,0,false,false,false,false,false,false,false,false,false,false,false,false,false
122,P&O Ferries Terminal,5,BE,BEZEE0750300107,0,false,false,false,false,false,false,false,false,false,false,false,false,false
123,PSA EUROPA TERMINAL (K869),6,BE,BEANR01160S869,0,false,false,false,false,false,false,false,false,false,false,false,false,false
124,PSA NOORDZEE TERMINAL (K913),6,BE,BEANR01170S913,0,false,false,false,false,false,false,false,false,false,false,false,false,false
125,ZUIDNATIE (K118),6,BE,BEANR017120118,0,false,false,false,false,false,false,false,false,false,false,false,false,false
126,BELGIAN NEW FRUIT WHARF (BNFW K220),6,BE,BEANR0171900220,0,false,false,false,false,false,false,false,false,false,false,false,false,false
127,ATO (K364),6,BE,BEANR0172300364,0,false,false,false,false,false,false,false,false,false,false,false,false,false
128,NOVA NATIE TERMINALS (K420),6,BE,BEANR0172500420,0,false,false,false,false,false,false,false,false,false,false,false,false,false
129,EUROPORTS (K524),6,BE,BEANR0172700524,0,false,false,false,false,false,false,false,false,false,false,false,false,false
130,ANTWERP CONTAINER TERMINAL (K730),6,BE,BEANR0172900730,0,false,false,false,false,false,false,false,false,false,false,false,false,false
131,ZUIDNATIE (K734),6,BE,BEANR0172900734,0,false,false,false,false,false,false,false,false,false,false,false,false,false
132,EUROPORTS LEFTBANK (K1207),6,BE,BEANR0900501207,0,false,false,false,false,false,false,false,false,false,false,false,false,false
133,ICO Vrasene Terminal (K1241) - EX,6,BE,BEANR0900501241,0,false,false,false,false,false,false,false,false,false,false,false,false,false
134,Antwerp Euroterminal (AET K1333) - EX,6,BE,BEANR0900601333,0,false,false,false,false,false,false,false,false,false,false,false,false,false
135,DP WORLD ANTWERP GATEWAY (K1700),6,BE,BEANR0910101700,0,false,false,false,false,false,false,false,false,false,false,false,false,false
136,MSC PSA EUROPEAN TERMINAL (K1742),6,BE,BEANR0910101742,0,false,false,false,false,false,false,false,false,false,false,false,false,false
137,BELGIAN NEW FRUIT WHARF ZEEBRUGGE (BNFW K404),6,BE,BEZEE0750200404,0,false,false,false,false,false,false,false,false,false,false,false,false,false
138,ICO Noordelijk Insteek Terminal - EX,6,BE,BEZEE0750200405,0,false,false,false,false,false,false,false,false,false,false,false,false,false
139,ICO Bastenaken Terminal - EX,6,BE,BEZEE0750200505,0,false,false,false,false,false,false,false,false,false,false,false,false,false
140,ICO Hanze Terminal - EX,6,BE,BEZEE0750200521,0,false,false,false,false,false,false,false,false,false,false,false,false,false
141,Wallenius Wilhelmsen Logistics - EX,6,BE,BEZEE0750200530,0,false,false,false,false,false,false,false,false,false,false,false,false,false
142,CPS ZEEBRUGGE TERMINAL,6,BE,BEZEE070300120,0,false,false,false,false,false,false,false,false,false,false,false,false,false
143,ZEEBRUGGE INTERNATIONAL PORT,6,BE,BEZEE070300129,0,false,false,false,false,false,false,false,false,false,false,false,false,false
144,CONTAINER HANDLING ZEEBRUGGE,6,BE,BEZEE070300206,0,false,false,false,false,false,false,false,false,false,false,false,false,false
